Fecha;Potencia_Molino;Velocidad_Molino;Bajotamano_Harneros_Humedos;P80_Molienda;Nivel_Cajon_Molienda;Alim_BHC_tph;Alim_BHC_m3h;Densidad_Alimentacion_BHC;Presion_Alim_BHC;Ciclones_Abiertos;Cp_Alim_BHC;Cp_OF_BHC;CC;Agua_Proceso_Total
44197.29167;16.72;11.79;2523.15;210.06;81.01;24473;13652.5;1.79;56;13;69.9;35.3;578.4;800.2
44197.33333;16.7;11.75;2530.77;203.4;79.69;24330.4;13587;1.79;55.9;13;69.8;35.2;571.5;824.1
44197.375;16.71;11.79;2538.67;219.6;78.12;24033.8;13469;1.78;55;13;69.5;35;558.3;815.9
44197.41667;16.77;11.77;2199.7;210.92;76.98;21297.9;12147.5;1.78;54.3;12.1;67.9;32.2;575.2;833.9
44197.45833;16.81;11.77;2431.11;214.14;76.1;21379.2;12092.6;1.77;55;12;68.7;34.4;504.3;844
44197.5;16.81;11.77;2495.98;207.11;77.17;21272.1;12041.5;1.77;55.1;12;68.6;34.4;485.1;839.9
44197.54167;16.81;11.74;2467.12;194.07;77.41;20961.5;11845.3;1.77;54;12;68.8;34.3;484.8;838.2
44197.58333;16.8;11.75;2478.32;189.3;77.01;20800.6;11726.3;1.78;54;12;69;34.3;479.3;842.6
44197.625;16.79;11.77;2575.85;223.2;75.63;21362.4;11947.3;1.78;54.7;12;69.7;35.4;478.4;865.7
44197.66667;16.79;11.74;2565.68;232.78;75.89;21902.8;12163.4;1.79;54.8;12;70.3;36.1;500.6;869.9
44197.70833;16.8;11.72;2560.43;243.25;77.99;22340.2;12338.3;1.8;55.6;12;70.8;36.1;518;877.2
44197.75;16.77;11.71;2517.76;245.08;80.11;22632.9;12477;1.8;55.9;12;71;34.6;538.3;881.4
44197.79167;16.76;11.73;2477.97;236.11;81.35;22612;12524.8;1.81;56.6;12;70.5;33.4;544.1;849.2
44197.83333;16.76;11.72;2550.81;253.63;81.56;22701.1;12516.9;1.81;56.4;12;70.9;35.8;531.5;882.9
44197.875;16.76;11.75;2496.62;242.7;83.05;22879.4;12578.7;1.82;56.4;12;71.2;37;552.6;867.6
44197.91667;16.75;11.74;2443.7;242.23;84.07;23193.7;12682.5;1.82;56.4;12;71.7;36.7;580.4;874.3
44197.95833;16.77;11.72;2406.9;247.26;84.79;23322.3;12740.8;1.82;56.5;12;71.8;36.4;595.4;876.3
44198;16.8;11.75;2379.09;231.24;84.91;22671.4;12698.3;1.82;56.4;12;71.5;35.9;596.7;868.1
44198.04167;16.8;11.75;2406.67;232.31;84.78;22903.6;12589.9;1.82;56.4;12;71.2;35.7;578;851.7
44198.08333;16.79;11.78;2422.04;222.41;84.41;22952.3;12616.9;1.82;56.5;12;71.2;35.1;574.9;869.6
44198.125;16.78;11.73;2391.43;215.46;83.19;22908.7;12585.9;1.82;56.7;12;71.3;34.8;582.8;861.9
44198.16667;16.7;11.75;2368.46;212.18;81;23256.9;12806.7;1.82;57.8;12;71.1;34.5;597.9;835.2
44198.20833;16.68;11.75;2516.04;206.36;82.61;22952.7;12597.8;1.81;57.3;12;71.4;35.2;551;846.6
44198.25;16.69;11.81;2540.04;207.12;83.46;22802.2;12530.2;1.8;56.9;12;71.2;35.4;539.7;846
44198.29167;16.7;11.77;2549.85;212.57;83.58;22425;12349.5;1.79;56;12;71;35.7;525;850.5
44198.33333;16.69;11.75;2509.77;199.08;83.53;22393.1;12365.1;1.78;55.9;12;70.8;33.9;532;858.5
44198.375;16.73;11.79;1999.84;192.94;82.36;20503.3;11504.1;1.76;55.3;11.2;69.2;33.3;651.5;852.3
44198.41667;16.75;11.76;1267.19;164.65;75.21;16494.3;10042.8;1.66;51.1;8;61.9;27.9;705.9;870.2
44198.45833;16.74;11.76;1086.03;126.19;75;15969.1;10341.2;1.53;50.3;7.5;55.6;23.8;749.8;856.2
44198.5;16.84;11.73;1282.76;115.68;78.58;16255.1;10630.8;1.54;49.4;7.2;54.7;22.2;610.1;861.1
44198.54167;16.86;11.71;2163.62;128.92;79.7;19601.4;11501.2;1.69;51.2;11;65.3;28.3;491.6;834.8
44198.58333;16.78;11.75;2406.87;165.4;79.43;21411.9;11981.1;1.75;53.1;12;69.7;35.1;519.8;846.2
44198.625;16.75;11.75;2423.18;164.14;78.05;21680.4;12120.9;1.78;53.4;12;69.7;35.8;524;837.8
44198.66667;16.73;11.74;2433.65;180.66;77.88;21672;12143.2;1.79;53.4;12;69.5;35.8;519.3;835.2
44198.70833;16.72;11.74;2436.27;192.67;77.68;21899.4;12247.7;1.79;53.7;12;69.7;35.5;526.7;841
44198.75;16.69;11.74;2440.4;192.83;77.72;21908.4;12267.8;1.79;53.9;12;69.6;34.9;524.8;837.6
44198.79167;16.67;11.73;2437.29;196.11;77.67;21962.9;12273.4;1.79;53.9;12;69.8;34.5;528.8;820.9
44198.83333;16.65;11.76;2407.52;188.17;78.01;22074.1;12277;1.79;53.9;12;70.2;33.1;543.6;845.8
44198.875;16.65;11.78;2430.11;184.61;78.08;21927.3;12216.6;1.79;53.9;12;70;32.9;532.1;856.3
44198.91667;16.65;11.76;2387.32;177.6;77.99;21869.5;12209.9;1.79;54;12;69.9;32.2;540;858.3
44198.95833;16.65;11.77;2358.86;188.64;77.64;21801.2;12177.7;1.79;53.9;12;69.8;34;545.4;856.3
44199;16.71;11.77;2351.45;196.29;77.67;21807.8;12178.4;1.79;53.9;12;69.8;33.7;547.8;863
44199.04167;16.71;11.77;2367.39;210.83;77.68;21956.1;12247.2;1.79;53.9;12;69.9;34;548.7;869.3
